Partno,Rain - ______,Blue - ______,Steel - ______,Skin - ______,Rocket - ______,Shot - ______,Saucer - ______,Envelope - ______,Chapel - ______,Wear - ______,Wet - ______,Fire - _______,Bowl - ______,Freedom - ______,Red - ______,Toad - ______,Flame - ______,Carpet - ______,Cottage - ______,Talk - ______,Rifle - ______
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
3,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1
5,,0,,,,,,,,,,,,,,,1,,1,,
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0
8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
9,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1
10,1,,,1,,,,0,,,,1,,1,,1,0,,,,
11,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1
12,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1
13,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1
14,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
16,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1
17,,,,,,,,,,,,,,,,,,,,,
18,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1
19,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1
20,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1
21,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
24,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
25,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
26,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1
29,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
32,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1
34,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1
35,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
36,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
37,0,0,1,1,1,1,1,1,,0,1,1,1,1,1,1,0,1,1,1,1
38,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1
39,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
40,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
41,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
42,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1
43,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1
44,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
45,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
47,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
48,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1
49,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1
50,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1
51,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1
52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
53,0,0,,0,,,,0,,0,0,0,0,1,0,1,1,0,,,
54,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
55,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
56,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
57,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1
58,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
59,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
60,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1
61,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
62,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
63,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1
64,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1
65,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
66,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1
67,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1
68,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1
69,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1
70,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1
71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
72,,0,0,1,1,0,,0,0,,0,0,0,1,0,0,,1,0,0,1
73,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1
74,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0
75,1,0,1,1,1,1,1,1,0,1,,1,1,1,0,1,1,1,1,1,1
76,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1
77,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
78,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1
79,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1
80,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
