Partno,Judgment,Word Pair,Judged Value,Recall
1,Associative,Find...keep,100,0
2,Associative,Find...keep,30,0
3,Associative,Find...keep,70,0
4,Associative,Find...keep,90,0
5,Associative,Find...keep,NA,NA
6,Associative,Find...keep,40,1
7,Associative,Find...keep,55,0
8,Associative,Find...keep,25,1
9,Associative,Find...keep,75,0
10,Associative,Find...keep,88,0
11,Associative,Find...keep,50,0
12,Associative,Find...keep,20,0
13,Associative,Find...keep,50,0
14,Associative,Find...keep,29,0
15,Associative,Find...keep,55,0
16,Associative,Find...keep,80,0
17,Associative,Find...keep,40,NA
18,Associative,Find...keep,90,0
19,Associative,Find...keep,50,0
20,Associative,Find...keep,75,1
21,Associative,Find...keep,30,NA
22,Associative,Find...keep,54,0
23,Associative,Find...keep,70,0
24,Associative,Find...keep,52,0
25,Associative,Find...keep,82,0
26,Associative,Find...keep,75,0
27,Associative,Find...keep,80,0
28,Associative,Find...keep,100,1
29,Associative,Find...keep,40,1
30,Associative,Find...keep,75,0
31,Associative,Find...keep,NA,0
32,Associative,Find...keep,100,0
33,Associative,Find...keep,60,1
34,Associative,Find...keep,90,0
35,Associative,Find...keep,80,0
36,Associative,Find...keep,90,1
37,Associative,Find...keep,99,0
38,Associative,Find...keep,80,0
39,Associative,Find...keep,50,0
40,Associative,Find...keep,85,0
41,Associative,Find...keep,99,0
42,Associative,Find...keep,50,1
43,Associative,Find...keep,75,0
44,Associative,Find...keep,80,0
45,Associative,Find...keep,80,0
46,Associative,Find...keep,30,1
47,Associative,Find...keep,99,0
48,Associative,Find...keep,100,0
49,Associative,Find...keep,80,1
50,Associative,Find...keep,80,0
51,Associative,Find...keep,20,0
52,Associative,Find...keep,80,0
53,Associative,Find...keep,80,0
54,Associative,Find...keep,30,0
55,Associative,Find...keep,60,1
56,Associative,Find...keep,20,0
57,Associative,Find...keep,40,0
58,Associative,Find...keep,82,0
59,Associative,Find...keep,70,0
60,Associative,Find...keep,60,0
61,Associative,Find...keep,45,0
62,Associative,Find...keep,90,0
63,Associative,Find...keep,70,0
64,Associative,Find...keep,20,0
65,Associative,Find...keep,85,0
66,Associative,Find...keep,50,1
67,Associative,Find...keep,50,0
68,Associative,Find...keep,90,1
69,Associative,Find...keep,68,0
70,Associative,Find...keep,95,1
71,Associative,Find...keep,90,0
72,Associative,Find...keep,90,NA
73,Associative,Find...keep,10,0
74,Associative,Find...keep,60,1
75,Associative,Find...keep,90,NA
76,Associative,Find...keep,50,0
77,Associative,Find...keep,80,0
78,Associative,Find...keep,10,0
79,Thematic,Find...keep,20,0
80,Thematic,Find...keep,50,1
81,Thematic,Find...keep,25,0
82,Thematic,Find...keep,85,0
83,Thematic,Find...keep,60,1
84,Thematic,Find...keep,70,NA
85,Thematic,Find...keep,40,0
86,Thematic,Find...keep,NA,1
87,Thematic,Find...keep,50,1
88,Thematic,Find...keep,65,0
89,Thematic,Find...keep,50,1
90,Thematic,Find...keep,NA,NA
91,Thematic,Find...keep,5,0
92,Thematic,Find...keep,98,0
93,Thematic,Find...keep,20,0
94,Thematic,Find...keep,50,0
95,Thematic,Find...keep,60,1
96,Thematic,Find...keep,60,0
97,Thematic,Find...keep,10,0
98,Thematic,Find...keep,40,NA
99,Thematic,Find...keep,NA,0
100,Thematic,Find...keep,70,0
101,Thematic,Find...keep,100,1
102,Thematic,Find...keep,10,0
103,Thematic,Find...keep,55,NA
104,Thematic,Find...keep,60,1
105,Thematic,Find...keep,50,1
106,Thematic,Find...keep,48,0
107,Thematic,Find...keep,25,0
108,Thematic,Find...keep,100,0
109,Thematic,Find...keep,65,0
110,Thematic,Find...keep,50,1
111,Thematic,Find...keep,100,0
112,Thematic,Find...keep,75,0
113,Thematic,Find...keep,85,0
114,Thematic,Find...keep,NA,NA
115,Thematic,Find...keep,30,NA
116,Thematic,Find...keep,60,0
117,Thematic,Find...keep,0,1
118,Thematic,Find...keep,90,0
119,Thematic,Find...keep,NA,1
120,Thematic,Find...keep,2,0
121,Thematic,Find...keep,100,0
122,Thematic,Find...keep,100,0
123,Thematic,Find...keep,70,0
124,Thematic,Find...keep,90,1
125,Thematic,Find...keep,40,0
126,Thematic,Find...keep,70,0
127,Thematic,Find...keep,75,0
128,Thematic,Find...keep,100,1
129,Thematic,Find...keep,0,0
130,Thematic,Find...keep,90,1
131,Thematic,Find...keep,80,0
132,Thematic,Find...keep,60,0
133,Thematic,Find...keep,70,1
314,Thematic,Find...keep,85,0
135,Thematic,Find...keep,80,0
136,Thematic,Find...keep,60,0
137,Thematic,Find...keep,60,0
138,Thematic,Find...keep,95,0
139,Thematic,Find...keep,34,NA
140,Thematic,Find...keep,80,0
141,Thematic,Find...keep,60,0
142,Thematic,Find...keep,75,0
143,Thematic,Find...keep,100,0
144,Thematic,Find...keep,NA,0
145,Thematic,Find...keep,65,1
146,Thematic,Find...keep,10,0
147,Semantic,Find...keep,80,0
148,Semantic,Find...keep,60,1
149,Semantic,Find...keep,100,0
150,Semantic,Find...keep,70,0
151,Semantic,Find...keep,65,NA
152,Semantic,Find...keep,78,NA
153,Semantic,Find...keep,90,0
154,Semantic,Find...keep,90,1
155,Semantic,Find...keep,NA,0
156,Semantic,Find...keep,85,1
157,Semantic,Find...keep,80,1
158,Semantic,Find...keep,100,0
159,Semantic,Find...keep,20,0
160,Semantic,Find...keep,100,0
161,Semantic,Find...keep,92,0
162,Semantic,Find...keep,75,1
163,Semantic,Find...keep,60,0
164,Semantic,Find...keep,75,1
165,Semantic,Find...keep,40,1
166,Semantic,Find...keep,100,0
167,Semantic,Find...keep,80,0
168,Semantic,Find...keep,38,0
169,Semantic,Find...keep,100,1
170,Semantic,Find...keep,80,0
171,Semantic,Find...keep,40,0
172,Semantic,Find...keep,50,1
173,Semantic,Find...keep,95,0
174,Semantic,Find...keep,50,0
175,Semantic,Find...keep,70,NA
176,Semantic,Find...keep,100,0
177,Semantic,Find...keep,100,0
178,Semantic,Find...keep,100,NA
179,Semantic,Find...keep,60,0
180,Semantic,Find...keep,70,1
181,Semantic,Find...keep,70,0
182,Semantic,Find...keep,100,0
183,Semantic,Find...keep,85,1
184,Semantic,Find...keep,65,0
185,Semantic,Find...keep,20,0
186,Semantic,Find...keep,70,1
187,Semantic,Find...keep,40,0
188,Semantic,Find...keep,60,0
189,Semantic,Find...keep,70,0
190,Semantic,Find...keep,80,0
191,Semantic,Find...keep,60,0
192,Semantic,Find...keep,90,0
193,Semantic,Find...keep,80,0
194,Semantic,Find...keep,100,0
195,Semantic,Find...keep,75,1
196,Semantic,Find...keep,55,1
197,Semantic,Find...keep,NA,0
198,Semantic,Find...keep,60,0
199,Semantic,Find...keep,80,1
200,Semantic,Find...keep,75,0
201,Semantic,Find...keep,17,1
