"","Partno","Judgment","Word Pair","Judged Value"
"1",1,"Associative","Find...keep",100
"2",2,"Associative","Find...keep",30
"3",3,"Associative","Find...keep",70
"4",4,"Associative","Find...keep",90
"5",5,"Associative","Find...keep",NA
"6",6,"Associative","Find...keep",40
"7",7,"Associative","Find...keep",55
"8",8,"Associative","Find...keep",25
"9",9,"Associative","Find...keep",75
"10",10,"Associative","Find...keep",88
"11",11,"Associative","Find...keep",50
"12",12,"Associative","Find...keep",20
"13",13,"Associative","Find...keep",50
"14",14,"Associative","Find...keep",29
"15",15,"Associative","Find...keep",55
"16",16,"Associative","Find...keep",80
"17",17,"Associative","Find...keep",40
"18",18,"Associative","Find...keep",90
"19",19,"Associative","Find...keep",50
"20",20,"Associative","Find...keep",75
"21",21,"Associative","Find...keep",30
"22",22,"Associative","Find...keep",54
"23",23,"Associative","Find...keep",70
"24",24,"Associative","Find...keep",52
"25",25,"Associative","Find...keep",82
"26",26,"Associative","Find...keep",75
"27",27,"Associative","Find...keep",80
"28",28,"Associative","Find...keep",100
"29",29,"Associative","Find...keep",40
"30",30,"Associative","Find...keep",75
"31",31,"Associative","Find...keep",NA
"32",32,"Associative","Find...keep",100
"33",33,"Associative","Find...keep",60
"34",34,"Associative","Find...keep",90
"35",35,"Associative","Find...keep",80
"36",36,"Associative","Find...keep",90
"37",37,"Associative","Find...keep",99
"38",38,"Associative","Find...keep",80
"39",39,"Associative","Find...keep",50
"40",40,"Associative","Find...keep",85
"41",41,"Associative","Find...keep",99
"42",42,"Associative","Find...keep",50
"43",43,"Associative","Find...keep",75
"44",44,"Associative","Find...keep",80
"45",45,"Associative","Find...keep",80
"46",46,"Associative","Find...keep",30
"47",47,"Associative","Find...keep",99
"48",48,"Associative","Find...keep",100
"49",49,"Associative","Find...keep",80
"50",50,"Associative","Find...keep",80
"51",51,"Associative","Find...keep",20
"52",52,"Associative","Find...keep",80
"53",53,"Associative","Find...keep",80
"54",54,"Associative","Find...keep",30
"55",55,"Associative","Find...keep",60
"56",56,"Associative","Find...keep",20
"57",57,"Associative","Find...keep",40
"58",58,"Associative","Find...keep",82
"59",59,"Associative","Find...keep",70
"60",60,"Associative","Find...keep",60
"61",61,"Associative","Find...keep",45
"62",62,"Associative","Find...keep",90
"63",63,"Associative","Find...keep",70
"64",64,"Associative","Find...keep",20
"65",65,"Associative","Find...keep",85
"66",66,"Associative","Find...keep",50
"67",67,"Associative","Find...keep",50
"68",68,"Associative","Find...keep",90
"69",69,"Associative","Find...keep",68
"70",70,"Associative","Find...keep",95
"71",71,"Associative","Find...keep",90
"72",72,"Associative","Find...keep",90
"73",73,"Associative","Find...keep",10
"74",74,"Associative","Find...keep",60
"75",75,"Associative","Find...keep",90
"76",76,"Associative","Find...keep",50
"77",77,"Associative","Find...keep",80
"78",78,"Associative","Find...keep",10
"79",79,"Thematic","Find...keep",20
"80",80,"Thematic","Find...keep",50
"81",81,"Thematic","Find...keep",25
"82",82,"Thematic","Find...keep",85
"83",83,"Thematic","Find...keep",60
"84",84,"Thematic","Find...keep",70
"85",85,"Thematic","Find...keep",40
"86",86,"Thematic","Find...keep",NA
"87",87,"Thematic","Find...keep",50
"88",88,"Thematic","Find...keep",65
"89",89,"Thematic","Find...keep",50
"90",90,"Thematic","Find...keep",NA
"91",91,"Thematic","Find...keep",5
"92",92,"Thematic","Find...keep",98
"93",93,"Thematic","Find...keep",20
"94",94,"Thematic","Find...keep",50
"95",95,"Thematic","Find...keep",60
"96",96,"Thematic","Find...keep",60
"97",97,"Thematic","Find...keep",10
"98",98,"Thematic","Find...keep",40
"99",99,"Thematic","Find...keep",NA
"100",100,"Thematic","Find...keep",70
"101",101,"Thematic","Find...keep",100
