"","Partno","Judgment2","Word Pair","Judged Value"
"1",1,"Semantic","Doll...Play",50
"2",2,"Semantic","Doll...Play",90
"3",3,"Semantic","Doll...Play",10
"4",4,"Semantic","Doll...Play",70
"5",5,"Semantic","Doll...Play",NA
"6",6,"Semantic","Doll...Play",50
"7",7,"Semantic","Doll...Play",55
"8",8,"Semantic","Doll...Play",75
"9",9,"Semantic","Doll...Play",50
"10",10,"Semantic","Doll...Play",55
"11",11,"Semantic","Doll...Play",100
"12",12,"Semantic","Doll...Play",25
"13",13,"Semantic","Doll...Play",60
"14",14,"Semantic","Doll...Play",67
"15",15,"Semantic","Doll...Play",35
"16",16,"Semantic","Doll...Play",70
"17",17,"Semantic","Doll...Play",70
"18",18,"Semantic","Doll...Play",75
"19",19,"Semantic","Doll...Play",20
"20",20,"Semantic","Doll...Play",85
"21",21,"Semantic","Doll...Play",30
"22",22,"Semantic","Doll...Play",85
"23",23,"Semantic","Doll...Play",30
"24",24,"Semantic","Doll...Play",44
"25",25,"Semantic","Doll...Play",85
"26",26,"Semantic","Doll...Play",80
"27",27,"Semantic","Doll...Play",50
"28",28,"Semantic","Doll...Play",20
"29",29,"Semantic","Doll...Play",25
"30",30,"Semantic","Doll...Play",75
"31",31,"Semantic","Doll...Play",NA
"32",32,"Semantic","Doll...Play",80
"33",33,"Semantic","Doll...Play",40
"34",34,"Semantic","Doll...Play",25
"35",35,"Semantic","Doll...Play",25
"36",36,"Semantic","Doll...Play",50
"37",37,"Semantic","Doll...Play",80
"38",38,"Semantic","Doll...Play",60
"39",39,"Semantic","Doll...Play",100
"40",40,"Semantic","Doll...Play",90
"41",41,"Semantic","Doll...Play",100
"42",42,"Semantic","Doll...Play",50
"43",43,"Semantic","Doll...Play",NA
"44",44,"Semantic","Doll...Play",100
"45",45,"Semantic","Doll...Play",0
"46",46,"Semantic","Doll...Play",60
"47",47,"Semantic","Doll...Play",85
"48",48,"Semantic","Doll...Play",60
"49",49,"Semantic","Doll...Play",20
"50",50,"Semantic","Doll...Play",5
"51",51,"Semantic","Doll...Play",25
"52",52,"Semantic","Doll...Play",80
"53",53,"Semantic","Doll...Play",60
"54",54,"Semantic","Doll...Play",75
"55",55,"Semantic","Doll...Play",30
"56",56,"Semantic","Doll...Play",60
"57",57,"Semantic","Doll...Play",20
"58",58,"Semantic","Doll...Play",60
"59",59,"Semantic","Doll...Play",30
"60",60,"Semantic","Doll...Play",50
"61",61,"Semantic","Doll...Play",33
"62",62,"Semantic","Doll...Play",90
"63",63,"Semantic","Doll...Play",70
"64",64,"Semantic","Doll...Play",45
"65",65,"Semantic","Doll...Play",10
"66",66,"Semantic","Doll...Play",60
"67",67,"Semantic","Doll...Play",1
"68",68,"Semantic","Doll...Play",80
"69",69,"Semantic","Doll...Play",75
"70",70,"Semantic","Doll...Play",75
"71",71,"Semantic","Doll...Play",90
"72",72,"Semantic","Doll...Play",40
"73",73,"Semantic","Doll...Play",20
"74",74,"Semantic","Doll...Play",25
"75",75,"Semantic","Doll...Play",20
"76",76,"Semantic","Doll...Play",0
"77",77,"Semantic","Doll...Play",30
"78",78,"Semantic","Doll...Play",5
"79",79,"Associative","Doll...Play",85
"80",80,"Associative","Doll...Play",70
"81",81,"Associative","Doll...Play",70
"82",82,"Associative","Doll...Play",35
"83",83,"Associative","Doll...Play",20
"84",84,"Associative","Doll...Play",80
"85",85,"Associative","Doll...Play",80
"86",86,"Associative","Doll...Play",NA
"87",87,"Associative","Doll...Play",50
"88",88,"Associative","Doll...Play",75
"89",89,"Associative","Doll...Play",50
"90",90,"Associative","Doll...Play",NA
"91",91,"Associative","Doll...Play",65
"92",92,"Associative","Doll...Play",98
"93",93,"Associative","Doll...Play",55
"94",94,"Associative","Doll...Play",25
"95",95,"Associative","Doll...Play",75
"96",96,"Associative","Doll...Play",80
"97",97,"Associative","Doll...Play",70
"98",98,"Associative","Doll...Play",90
"99",99,"Associative","Doll...Play",86
"100",100,"Associative","Doll...Play",70
"101",101,"Associative","Doll...Play",90
"102",102,"Associative","Doll...Play",0
"103",103,"Associative","Doll...Play",40
"104",104,"Associative","Doll...Play",55
"105",105,"Associative","Doll...Play",90
"106",106,"Associative","Doll...Play",75
"107",107,"Associative","Doll...Play",80
"108",108,"Associative","Doll...Play",45
"109",109,"Associative","Doll...Play",75
"110",110,"Associative","Doll...Play",40
"111",111,"Associative","Doll...Play",70
"112",112,"Associative","Doll...Play",75
"113",113,"Associative","Doll...Play",75
"114",114,"Associative","Doll...Play",NA
"115",115,"Associative","Doll...Play",40
"116",116,"Associative","Doll...Play",65
"117",117,"Associative","Doll...Play",100
"118",118,"Associative","Doll...Play",70
"119",119,"Associative","Doll...Play",57
"120",120,"Associative","Doll...Play",NA
"121",121,"Associative","Doll...Play",30
"122",122,"Associative","Doll...Play",25
"123",123,"Associative","Doll...Play",25
"124",124,"Associative","Doll...Play",50
"125",125,"Associative","Doll...Play",30
"126",126,"Associative","Doll...Play",80
"127",127,"Associative","Doll...Play",50
"128",128,"Associative","Doll...Play",0
"129",129,"Associative","Doll...Play",89
"130",130,"Associative","Doll...Play",80
"131",131,"Associative","Doll...Play",10
"132",132,"Associative","Doll...Play",88
"133",133,"Associative","Doll...Play",45
"134",314,"Associative","Doll...Play",40
"135",135,"Associative","Doll...Play",70
"136",136,"Associative","Doll...Play",80
"137",137,"Associative","Doll...Play",60
"138",138,"Associative","Doll...Play",70
"139",139,"Associative","Doll...Play",78
"140",140,"Associative","Doll...Play",80
"141",141,"Associative","Doll...Play",25
"142",142,"Associative","Doll...Play",77
"143",143,"Associative","Doll...Play",100
"144",144,"Associative","Doll...Play",NA
"145",145,"Associative","Doll...Play",75
"146",146,"Associative","Doll...Play",50
"147",147,"Thematic","Doll...Play",50
"148",148,"Thematic","Doll...Play",50
"149",149,"Thematic","Doll...Play",50
"150",150,"Thematic","Doll...Play",80
"151",151,"Thematic","Doll...Play",56
"152",152,"Thematic","Doll...Play",65
"153",153,"Thematic","Doll...Play",90
"154",154,"Thematic","Doll...Play",98
"155",155,"Thematic","Doll...Play",84
"156",156,"Thematic","Doll...Play",75
"157",157,"Thematic","Doll...Play",75
"158",158,"Thematic","Doll...Play",30
"159",159,"Thematic","Doll...Play",60
"160",160,"Thematic","Doll...Play",60
"161",161,"Thematic","Doll...Play",55
"162",162,"Thematic","Doll...Play",95
"163",163,"Thematic","Doll...Play",70
"164",164,"Thematic","Doll...Play",100
"165",165,"Thematic","Doll...Play",50
"166",166,"Thematic","Doll...Play",100
"167",167,"Thematic","Doll...Play",90
"168",168,"Thematic","Doll...Play",50
"169",169,"Thematic","Doll...Play",90
"170",170,"Thematic","Doll...Play",60
"171",171,"Thematic","Doll...Play",20
"172",172,"Thematic","Doll...Play",50
"173",173,"Thematic","Doll...Play",85
"174",174,"Thematic","Doll...Play",70
"175",175,"Thematic","Doll...Play",85
"176",176,"Thematic","Doll...Play",100
"177",177,"Thematic","Doll...Play",50
"178",178,"Thematic","Doll...Play",100
"179",179,"Thematic","Doll...Play",80
"180",180,"Thematic","Doll...Play",100
"181",181,"Thematic","Doll...Play",100
"182",182,"Thematic","Doll...Play",100
"183",183,"Thematic","Doll...Play",100
"184",184,"Thematic","Doll...Play",75
"185",185,"Thematic","Doll...Play",90
"186",186,"Thematic","Doll...Play",90
"187",187,"Thematic","Doll...Play",100
"188",188,"Thematic","Doll...Play",70
"189",189,"Thematic","Doll...Play",85
"190",190,"Thematic","Doll...Play",80
"191",191,"Thematic","Doll...Play",80
"192",192,"Thematic","Doll...Play",100
"193",193,"Thematic","Doll...Play",50
"194",194,"Thematic","Doll...Play",90
"195",195,"Thematic","Doll...Play",100
"196",196,"Thematic","Doll...Play",45
"197",197,"Thematic","Doll...Play",5
"198",198,"Thematic","Doll...Play",100
"199",199,"Thematic","Doll...Play",80
"200",200,"Thematic","Doll...Play",90
"201",201,"Thematic","Doll...Play",42
"202",202,"Thematic","Doll...Play",90
"203",203,"Thematic","Doll...Play",100
"204",204,"Thematic","Doll...Play",60
"205",205,"Thematic","Doll...Play",100
"206",206,"Thematic","Doll...Play",20
"207",207,"Thematic","Doll...Play",70
"208",208,"Thematic","Doll...Play",90
"209",209,"Thematic","Doll...Play",75
"210",210,"Thematic","Doll...Play",80
"211",211,"Thematic","Doll...Play",100
"212",212,"Thematic","Doll...Play",100
"213",213,"Thematic","Doll...Play",99
"214",214,"Thematic","Doll...Play",100
"215",215,"Thematic","Doll...Play",85
"216",216,"Thematic","Doll...Play",100
"217",217,"Thematic","Doll...Play",30
"218",218,"Thematic","Doll...Play",50
"219",219,"Thematic","Doll...Play",100
"220",220,"Thematic","Doll...Play",75
"221",221,"Thematic","Doll...Play",50
"222",1,"Semantic","Glove...Ball",50
"223",2,"Semantic","Glove...Ball",100
"224",3,"Semantic","Glove...Ball",10
"225",4,"Semantic","Glove...Ball",80
"226",5,"Semantic","Glove...Ball",NA
"227",6,"Semantic","Glove...Ball",80
"228",7,"Semantic","Glove...Ball",68
"229",8,"Semantic","Glove...Ball",50
"230",9,"Semantic","Glove...Ball",50
"231",10,"Semantic","Glove...Ball",30
"232",11,"Semantic","Glove...Ball",100
"233",12,"Semantic","Glove...Ball",70
"234",13,"Semantic","Glove...Ball",55
"235",14,"Semantic","Glove...Ball",38
