"","Partno","Recall Pair","Recall"
"1",1,"Doll...______",0
"2",2,"Doll...______",1
"3",3,"Doll...______",0
"4",4,"Doll...______",0
"5",5,"Doll...______",NA
"6",6,"Doll...______",1
"7",7,"Doll...______",1
"8",8,"Doll...______",1
"9",9,"Doll...______",1
"10",10,"Doll...______",1
"11",11,"Doll...______",1
"12",12,"Doll...______",1
"13",13,"Doll...______",1
"14",14,"Doll...______",1
"15",15,"Doll...______",1
"16",16,"Doll...______",1
"17",17,"Doll...______",NA
"18",18,"Doll...______",0
"19",19,"Doll...______",0
"20",20,"Doll...______",1
"21",21,"Doll...______",NA
"22",22,"Doll...______",0
"23",23,"Doll...______",0
"24",24,"Doll...______",1
"25",25,"Doll...______",1
"26",26,"Doll...______",1
"27",27,"Doll...______",0
"28",28,"Doll...______",1
"29",29,"Doll...______",0
"30",30,"Doll...______",0
"31",31,"Doll...______",0
"32",32,"Doll...______",0
"33",33,"Doll...______",1
"34",34,"Doll...______",0
"35",35,"Doll...______",1
"36",36,"Doll...______",0
"37",37,"Doll...______",1
"38",38,"Doll...______",0
"39",39,"Doll...______",1
"40",40,"Doll...______",1
"41",41,"Doll...______",0
"42",42,"Doll...______",0
"43",43,"Doll...______",1
"44",44,"Doll...______",1
"45",45,"Doll...______",1
"46",46,"Doll...______",1
"47",47,"Doll...______",1
"48",48,"Doll...______",1
"49",49,"Doll...______",0
"50",50,"Doll...______",0
"51",51,"Doll...______",1
"52",52,"Doll...______",0
"53",53,"Doll...______",0
"54",54,"Doll...______",1
"55",55,"Doll...______",1
"56",56,"Doll...______",1
"57",57,"Doll...______",1
"58",58,"Doll...______",1
"59",59,"Doll...______",1
"60",60,"Doll...______",1
"61",61,"Doll...______",1
"62",62,"Doll...______",1
"63",63,"Doll...______",0
"64",64,"Doll...______",0
"65",65,"Doll...______",1
"66",66,"Doll...______",0
"67",67,"Doll...______",1
"68",68,"Doll...______",1
"69",69,"Doll...______",0
"70",70,"Doll...______",1
"71",71,"Doll...______",1
"72",72,"Doll...______",1
"73",73,"Doll...______",1
"74",74,"Doll...______",1
"75",75,"Doll...______",1
"76",76,"Doll...______",0
"77",77,"Doll...______",0
"78",78,"Doll...______",0
"79",79,"Doll...______",1
"80",80,"Doll...______",1
"81",81,"Doll...______",1
"82",82,"Doll...______",0
"83",83,"Doll...______",1
"84",84,"Doll...______",NA
"85",85,"Doll...______",1
"86",86,"Doll...______",0
"87",87,"Doll...______",0
"88",88,"Doll...______",1
"89",89,"Doll...______",1
"90",90,"Doll...______",NA
"91",91,"Doll...______",0
"92",92,"Doll...______",0
"93",93,"Doll...______",0
"94",94,"Doll...______",0
"95",95,"Doll...______",1
"96",96,"Doll...______",1
"97",97,"Doll...______",0
"98",98,"Doll...______",NA
"99",99,"Doll...______",0
"100",100,"Doll...______",1
"101",101,"Doll...______",0
"102",102,"Doll...______",0
"103",103,"Doll...______",NA
"104",104,"Doll...______",1
"105",105,"Doll...______",1
"106",106,"Doll...______",0
"107",107,"Doll...______",0
"108",108,"Doll...______",0
"109",109,"Doll...______",1
"110",110,"Doll...______",1
"111",111,"Doll...______",1
"112",112,"Doll...______",1
"113",113,"Doll...______",1
"114",114,"Doll...______",NA
"115",115,"Doll...______",1
"116",116,"Doll...______",1
"117",117,"Doll...______",1
"118",118,"Doll...______",1
"119",119,"Doll...______",1
"120",120,"Doll...______",0
"121",121,"Doll...______",1
"122",122,"Doll...______",0
"123",123,"Doll...______",0
"124",124,"Doll...______",1
"125",125,"Doll...______",1
"126",126,"Doll...______",0
"127",127,"Doll...______",1
"128",128,"Doll...______",1
"129",129,"Doll...______",0
"130",130,"Doll...______",1
"131",131,"Doll...______",1
"132",132,"Doll...______",1
"133",133,"Doll...______",NA
"134",314,"Doll...______",1
"135",135,"Doll...______",1
"136",136,"Doll...______",0
"137",137,"Doll...______",0
"138",138,"Doll...______",1
"139",139,"Doll...______",NA
"140",140,"Doll...______",NA
"141",141,"Doll...______",1
"142",142,"Doll...______",0
"143",143,"Doll...______",1
"144",144,"Doll...______",0
"145",145,"Doll...______",1
"146",146,"Doll...______",1
"147",147,"Doll...______",1
"148",148,"Doll...______",1
"149",149,"Doll...______",0
"150",150,"Doll...______",1
"151",151,"Doll...______",NA
"152",152,"Doll...______",NA
"153",153,"Doll...______",1
"154",154,"Doll...______",1
"155",155,"Doll...______",1
"156",156,"Doll...______",1
"157",157,"Doll...______",0
"158",158,"Doll...______",0
"159",159,"Doll...______",1
"160",160,"Doll...______",0
"161",161,"Doll...______",0
"162",162,"Doll...______",1
"163",163,"Doll...______",NA
"164",164,"Doll...______",0
"165",165,"Doll...______",0
"166",166,"Doll...______",1
"167",167,"Doll...______",0
"168",168,"Doll...______",0
"169",169,"Doll...______",1
"170",170,"Doll...______",1
"171",171,"Doll...______",1
"172",172,"Doll...______",1
"173",173,"Doll...______",0
"174",174,"Doll...______",1
"175",175,"Doll...______",0
"176",176,"Doll...______",1
"177",177,"Doll...______",1
"178",178,"Doll...______",1
"179",179,"Doll...______",1
"180",180,"Doll...______",0
"181",181,"Doll...______",1
"182",182,"Doll...______",0
"183",183,"Doll...______",1
"184",184,"Doll...______",0
"185",185,"Doll...______",1
"186",186,"Doll...______",1
"187",187,"Doll...______",1
"188",188,"Doll...______",1
"189",189,"Doll...______",1
"190",190,"Doll...______",NA
"191",191,"Doll...______",1
"192",192,"Doll...______",1
"193",193,"Doll...______",1
"194",194,"Doll...______",1
"195",195,"Doll...______",1
"196",196,"Doll...______",1
"197",197,"Doll...______",NA
"198",198,"Doll...______",1
"199",199,"Doll...______",1
"200",200,"Doll...______",0
"201",201,"Doll...______",1
"202",202,"Doll...______",0
"203",203,"Doll...______",0
"204",204,"Doll...______",0
"205",205,"Doll...______",0
"206",206,"Doll...______",NA
"207",207,"Doll...______",1
"208",208,"Doll...______",0
"209",209,"Doll...______",0
