Partno,Judgement1,Word Pair,Judged Value,Recall,COS,LSA ,FSG
1,associative,Reason_Answer,10,0,0,0.195666,0.025
2,associative,Reason_Answer,NA,NA,0,0.195666,0.025
3,associative,Reason_Answer,NA,NA,0,0.195666,0.025
4,associative,Reason_Answer,70,0,0,0.195666,0.025
5,associative,Reason_Answer,20,0,0,0.195666,0.025
6,associative,Reason_Answer,2,0,0,0.195666,0.025
7,associative,Reason_Answer,30,0,0,0.195666,0.025
8,associative,Reason_Answer,50,1,0,0.195666,0.025
9,associative,Reason_Answer,4,0,0,0.195666,0.025
10,associative,Reason_Answer,15,1,0,0.195666,0.025
11,associative,Reason_Answer,90,0,0,0.195666,0.025
12,associative,Reason_Answer,60,0,0,0.195666,0.025
13,associative,Reason_Answer,100,0,0,0.195666,0.025
14,associative,Reason_Answer,50,0,0,0.195666,0.025
15,associative,Reason_Answer,30,0,0,0.195666,0.025
16,associative,Reason_Answer,50,0,0,0.195666,0.025
17,associative,Reason_Answer,15,0,0,0.195666,0.025
18,associative,Reason_Answer,50,0,0,0.195666,0.025
19,associative,Reason_Answer,70,0,0,0.195666,0.025
20,associative,Reason_Answer,60,1,0,0.195666,0.025
21,associative,Reason_Answer,NA,NA,0,0.195666,0.025
22,associative,Reason_Answer,30,0,0,0.195666,0.025
23,associative,Reason_Answer,30,0,0,0.195666,0.025
24,associative,Reason_Answer,3,0,0,0.195666,0.025
25,associative,Reason_Answer,30,1,0,0.195666,0.025
26,associative,Reason_Answer,2,0,0,0.195666,0.025
27,associative,Reason_Answer,NA,NA,0,0.195666,0.025
28,associative,Reason_Answer,30,1,0,0.195666,0.025
29,associative,Reason_Answer,45,1,0,0.195666,0.025
30,associative,Reason_Answer,60,0,0,0.195666,0.025
31,associative,Reason_Answer,40,1,0,0.195666,0.025
32,associative,Reason_Answer,60,1,0,0.195666,0.025
33,associative,Reason_Answer,25,0,0,0.195666,0.025
34,associative,Reason_Answer,70,0,0,0.195666,0.025
35,associative,Reason_Answer,NA,1,0,0.195666,0.025
36,associative,Reason_Answer,30,1,0,0.195666,0.025
37,associative,Reason_Answer,70,0,0,0.195666,0.025
38,associative,Reason_Answer,20,0,0,0.195666,0.025
39,associative,Reason_Answer,25,0,0,0.195666,0.025
40,associative,Reason_Answer,40,0,0,0.195666,0.025
41,associative,Reason_Answer,90,NA,0,0.195666,0.025
42,associative,Reason_Answer,60,0,0,0.195666,0.025
43,associative,Reason_Answer,90,1,0,0.195666,0.025
44,associative,Reason_Answer,NA,1,0,0.195666,0.025
45,associative,Reason_Answer,80,0,0,0.195666,0.025
1,associative,Ride_Horse,4,NA,0.114428315,0.616774,0.372
2,associative,Ride_Horse,NA,NA,0.114428315,0.616774,0.372
3,associative,Ride_Horse,NA,NA,0.114428315,0.616774,0.372
4,associative,Ride_Horse,67,1,0.114428315,0.616774,0.372
5,associative,Ride_Horse,50,0,0.114428315,0.616774,0.372
6,associative,Ride_Horse,2,0,0.114428315,0.616774,0.372
7,associative,Ride_Horse,30,1,0.114428315,0.616774,0.372
8,associative,Ride_Horse,60,1,0.114428315,0.616774,0.372
9,associative,Ride_Horse,35,0,0.114428315,0.616774,0.372
10,associative,Ride_Horse,20,0,0.114428315,0.616774,0.372
11,associative,Ride_Horse,50,1,0.114428315,0.616774,0.372
12,associative,Ride_Horse,40,0,0.114428315,0.616774,0.372
13,associative,Ride_Horse,100,1,0.114428315,0.616774,0.372
14,associative,Ride_Horse,35,1,0.114428315,0.616774,0.372
15,associative,Ride_Horse,80,0,0.114428315,0.616774,0.372
16,associative,Ride_Horse,60,1,0.114428315,0.616774,0.372
17,associative,Ride_Horse,95,1,0.114428315,0.616774,0.372
18,associative,Ride_Horse,30,0,0.114428315,0.616774,0.372
19,associative,Ride_Horse,55,0,0.114428315,0.616774,0.372
20,associative,Ride_Horse,40,0,0.114428315,0.616774,0.372
21,associative,Ride_Horse,NA,NA,0.114428315,0.616774,0.372
22,associative,Ride_Horse,35,1,0.114428315,0.616774,0.372
23,associative,Ride_Horse,50,0,0.114428315,0.616774,0.372
24,associative,Ride_Horse,3,1,0.114428315,0.616774,0.372
25,associative,Ride_Horse,90,1,0.114428315,0.616774,0.372
26,associative,Ride_Horse,20,0,0.114428315,0.616774,0.372
27,associative,Ride_Horse,NA,NA,0.114428315,0.616774,0.372
28,associative,Ride_Horse,30,1,0.114428315,0.616774,0.372
29,associative,Ride_Horse,50,0,0.114428315,0.616774,0.372
30,associative,Ride_Horse,80,NA,0.114428315,0.616774,0.372
31,associative,Ride_Horse,25,1,0.114428315,0.616774,0.372
32,associative,Ride_Horse,39,1,0.114428315,0.616774,0.372
33,associative,Ride_Horse,58,0,0.114428315,0.616774,0.372
34,associative,Ride_Horse,20,0,0.114428315,0.616774,0.372
35,associative,Ride_Horse,NA,1,0.114428315,0.616774,0.372
36,associative,Ride_Horse,35,0,0.114428315,0.616774,0.372
37,associative,Ride_Horse,70,NA,0.114428315,0.616774,0.372
38,associative,Ride_Horse,80,0,0.114428315,0.616774,0.372
39,associative,Ride_Horse,20,0,0.114428315,0.616774,0.372
40,associative,Ride_Horse,35,1,0.114428315,0.616774,0.372
41,associative,Ride_Horse,40,0,0.114428315,0.616774,0.372
42,associative,Ride_Horse,80,1,0.114428315,0.616774,0.372
43,associative,Ride_Horse,100,1,0.114428315,0.616774,0.372
44,associative,Ride_Horse,NA,1,0.114428315,0.616774,0.372
45,associative,Ride_Horse,20,1,0.114428315,0.616774,0.372
1,associative,Compact_Car,3,NA,0.109033254,0.105492,0.169
2,associative,Compact_Car,NA,NA,0.109033254,0.105492,0.169
3,associative,Compact_Car,20,NA,0.109033254,0.105492,0.169
4,associative,Compact_Car,68,1,0.109033254,0.105492,0.169
5,associative,Compact_Car,99,0,0.109033254,0.105492,0.169
6,associative,Compact_Car,80,1,0.109033254,0.105492,0.169
7,associative,Compact_Car,70,1,0.109033254,0.105492,0.169
8,associative,Compact_Car,80,1,0.109033254,0.105492,0.169
9,associative,Compact_Car,33,1,0.109033254,0.105492,0.169
10,associative,Compact_Car,10,1,0.109033254,0.105492,0.169
11,associative,Compact_Car,50,1,0.109033254,0.105492,0.169
12,associative,Compact_Car,80,1,0.109033254,0.105492,0.169
13,associative,Compact_Car,25,1,0.109033254,0.105492,0.169
14,associative,Compact_Car,10,0,0.109033254,0.105492,0.169
15,associative,Compact_Car,5,0,0.109033254,0.105492,0.169
16,associative,Compact_Car,90,1,0.109033254,0.105492,0.169
17,associative,Compact_Car,5,1,0.109033254,0.105492,0.169
18,associative,Compact_Car,60,0,0.109033254,0.105492,0.169
19,associative,Compact_Car,90,1,0.109033254,0.105492,0.169
20,associative,Compact_Car,70,1,0.109033254,0.105492,0.169
21,associative,Compact_Car,NA,NA,0.109033254,0.105492,0.169
22,associative,Compact_Car,8,1,0.109033254,0.105492,0.169
23,associative,Compact_Car,10,1,0.109033254,0.105492,0.169
24,associative,Compact_Car,5,1,0.109033254,0.105492,0.169
25,associative,Compact_Car,40,1,0.109033254,0.105492,0.169
26,associative,Compact_Car,60,1,0.109033254,0.105492,0.169
27,associative,Compact_Car,NA,NA,0.109033254,0.105492,0.169
28,associative,Compact_Car,20,0,0.109033254,0.105492,0.169
29,associative,Compact_Car,60,1,0.109033254,0.105492,0.169
30,associative,Compact_Car,70,0,0.109033254,0.105492,0.169
31,associative,Compact_Car,55,1,0.109033254,0.105492,0.169
32,associative,Compact_Car,38,1,0.109033254,0.105492,0.169
33,associative,Compact_Car,70,1,0.109033254,0.105492,0.169
34,associative,Compact_Car,60,1,0.109033254,0.105492,0.169
35,associative,Compact_Car,NA,0,0.109033254,0.105492,0.169
36,associative,Compact_Car,75,1,0.109033254,0.105492,0.169
37,associative,Compact_Car,50,NA,0.109033254,0.105492,0.169
38,associative,Compact_Car,80,1,0.109033254,0.105492,0.169
39,associative,Compact_Car,50,1,0.109033254,0.105492,0.169
40,associative,Compact_Car,30,1,0.109033254,0.105492,0.169
41,associative,Compact_Car,90,0,0.109033254,0.105492,0.169
42,associative,Compact_Car,90,1,0.109033254,0.105492,0.169
43,associative,Compact_Car,95,1,0.109033254,0.105492,0.169
44,associative,Compact_Car,NA,0,0.109033254,0.105492,0.169
45,associative,Compact_Car,25,1,0.109033254,0.105492,0.169
1,associative,March_Walk,10,NA,0.322219498,0.167248,0.101
2,associative,March_Walk,NA,NA,0.322219498,0.167248,0.101
3,associative,March_Walk,NA,NA,0.322219498,0.167248,0.101
4,associative,March_Walk,77,1,0.322219498,0.167248,0.101
5,associative,March_Walk,60,0,0.322219498,0.167248,0.101
6,associative,March_Walk,5,0,0.322219498,0.167248,0.101
7,associative,March_Walk,60,1,0.322219498,0.167248,0.101
8,associative,March_Walk,40,1,0.322219498,0.167248,0.101
9,associative,March_Walk,45,1,0.322219498,0.167248,0.101
10,associative,March_Walk,10,0,0.322219498,0.167248,0.101
11,associative,March_Walk,35,0,0.322219498,0.167248,0.101
12,associative,March_Walk,35,1,0.322219498,0.167248,0.101
13,associative,March_Walk,100,0,0.322219498,0.167248,0.101
14,associative,March_Walk,23,0,0.322219498,0.167248,0.101
15,associative,March_Walk,20,1,0.322219498,0.167248,0.101
16,associative,March_Walk,80,1,0.322219498,0.167248,0.101
17,associative,March_Walk,20,0,0.322219498,0.167248,0.101
18,associative,March_Walk,25,1,0.322219498,0.167248,0.101
19,associative,March_Walk,45,0,0.322219498,0.167248,0.101
20,associative,March_Walk,75,1,0.322219498,0.167248,0.101
21,associative,March_Walk,NA,NA,0.322219498,0.167248,0.101
22,associative,March_Walk,65,1,0.322219498,0.167248,0.101
23,associative,March_Walk,20,NA,0.322219498,0.167248,0.101
24,associative,March_Walk,40,1,0.322219498,0.167248,0.101
25,associative,March_Walk,95,1,0.322219498,0.167248,0.101
26,associative,March_Walk,15,1,0.322219498,0.167248,0.101
27,associative,March_Walk,NA,NA,0.322219498,0.167248,0.101
28,associative,March_Walk,1,1,0.322219498,0.167248,0.101
29,associative,March_Walk,2,0,0.322219498,0.167248,0.101
30,associative,March_Walk,80,0,0.322219498,0.167248,0.101
31,associative,March_Walk,35,1,0.322219498,0.167248,0.101
32,associative,March_Walk,39,1,0.322219498,0.167248,0.101
33,associative,March_Walk,45,1,0.322219498,0.167248,0.101
34,associative,March_Walk,60,0,0.322219498,0.167248,0.101
35,associative,March_Walk,NA,0,0.322219498,0.167248,0.101
36,associative,March_Walk,65,1,0.322219498,0.167248,0.101
37,associative,March_Walk,60,0,0.322219498,0.167248,0.101
38,associative,March_Walk,60,0,0.322219498,0.167248,0.101
39,associative,March_Walk,75,0,0.322219498,0.167248,0.101
40,associative,March_Walk,25,1,0.322219498,0.167248,0.101
41,associative,March_Walk,45,1,0.322219498,0.167248,0.101
42,associative,March_Walk,80,1,0.322219498,0.167248,0.101
43,associative,March_Walk,100,1,0.322219498,0.167248,0.101
44,associative,March_Walk,NA,0,0.322219498,0.167248,0.101
45,associative,March_Walk,25,0,0.322219498,0.167248,0.101
1,associative,Cherry_Sign,4,0,0.013230671,0.107084,0.042
2,associative,Cherry_Sign,NA,NA,0.013230671,0.107084,0.042
3,associative,Cherry_Sign,NA,NA,0.013230671,0.107084,0.042
4,associative,Cherry_Sign,35,0,0.013230671,0.107084,0.042
5,associative,Cherry_Sign,50,0,0.013230671,0.107084,0.042
6,associative,Cherry_Sign,30,0,0.013230671,0.107084,0.042
7,associative,Cherry_Sign,80,0,0.013230671,0.107084,0.042
8,associative,Cherry_Sign,12,0,0.013230671,0.107084,0.042
9,associative,Cherry_Sign,76,0,0.013230671,0.107084,0.042
10,associative,Cherry_Sign,10,0,0.013230671,0.107084,0.042
11,associative,Cherry_Sign,35,0,0.013230671,0.107084,0.042
12,associative,Cherry_Sign,30,0,0.013230671,0.107084,0.042
13,associative,Cherry_Sign,25,0,0.013230671,0.107084,0.042
14,associative,Cherry_Sign,15,0,0.013230671,0.107084,0.042
15,associative,Cherry_Sign,20,0,0.013230671,0.107084,0.042
16,associative,Cherry_Sign,50,1,0.013230671,0.107084,0.042
17,associative,Cherry_Sign,80,1,0.013230671,0.107084,0.042
18,associative,Cherry_Sign,40,0,0.013230671,0.107084,0.042
19,associative,Cherry_Sign,50,1,0.013230671,0.107084,0.042
20,associative,Cherry_Sign,90,0,0.013230671,0.107084,0.042
21,associative,Cherry_Sign,NA,NA,0.013230671,0.107084,0.042
22,associative,Cherry_Sign,15,0,0.013230671,0.107084,0.042
23,associative,Cherry_Sign,80,0,0.013230671,0.107084,0.042
24,associative,Cherry_Sign,3,1,0.013230671,0.107084,0.042
25,associative,Cherry_Sign,65,1,0.013230671,0.107084,0.042
26,associative,Cherry_Sign,5,0,0.013230671,0.107084,0.042
27,associative,Cherry_Sign,NA,NA,0.013230671,0.107084,0.042
28,associative,Cherry_Sign,50,0,0.013230671,0.107084,0.042
29,associative,Cherry_Sign,40,1,0.013230671,0.107084,0.042
30,associative,Cherry_Sign,40,0,0.013230671,0.107084,0.042
31,associative,Cherry_Sign,80,0,0.013230671,0.107084,0.042
32,associative,Cherry_Sign,4,0,0.013230671,0.107084,0.042
33,associative,Cherry_Sign,50,0,0.013230671,0.107084,0.042
34,associative,Cherry_Sign,40,0,0.013230671,0.107084,0.042
35,associative,Cherry_Sign,NA,0,0.013230671,0.107084,0.042
36,associative,Cherry_Sign,67,0,0.013230671,0.107084,0.042
37,associative,Cherry_Sign,40,1,0.013230671,0.107084,0.042
38,associative,Cherry_Sign,20,0,0.013230671,0.107084,0.042
39,associative,Cherry_Sign,20,0,0.013230671,0.107084,0.042
40,associative,Cherry_Sign,25,0,0.013230671,0.107084,0.042
41,associative,Cherry_Sign,75,0,0.013230671,0.107084,0.042
42,associative,Cherry_Sign,75,0,0.013230671,0.107084,0.042
43,associative,Cherry_Sign,0,1,0.013230671,0.107084,0.042
44,associative,Cherry_Sign,NA,0,0.013230671,0.107084,0.042
45,associative,Cherry_Sign,50,1,0.013230671,0.107084,0.042
1,associative,Sign_Stop,10,NA,0.315007918,0.328892,0.348
2,associative,Sign_Stop,NA,NA,0.315007918,0.328892,0.348
3,associative,Sign_Stop,NA,NA,0.315007918,0.328892,0.348
4,associative,Sign_Stop,70,1,0.315007918,0.328892,0.348
5,associative,Sign_Stop,70,0,0.315007918,0.328892,0.348
