"","","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)","Step 1","0.18193327236939","0.15948323832112","1.14076735765214","0.253966747794622"
"JudgmentSemantic","Step 1","0.161756759174976","0.0415341241139588","3.89455086933235","0.0000983808450840042"
"JudgmentThematic","Step 1","0.0104555220064202","0.0416079270530106","0.251286779874887","0.801592395451121"
"Judged.Value2","Step 1","0.504648381852876","0.062498964634266","8.07450787074631","0.000000000000000677493307018666"
"LogSub.1","Step 1","-0.252872333636253","0.0276811831046663","-9.13517072879828","0.0000000000000000000653036526265306"
"LogSub.2","Step 1","0.0809079393404331","0.0296392120547162","2.72976012962392","0.00633804235602631"
"Length.1","Step 1","0.135734299330908","0.0148782816203312","9.12298226331639","0.0000000000000000000730849350662576"
"Length.2","Step 1","-0.0465405312728955","0.0121698243645471","-3.82425661034817","0.000131167247669035"
"(Intercept)","Step 2","7.15282097040774","0.793619913628044","9.01290510429422","0.000000000000000000200668896077343"
"JudgmentSemantic","Step 2","0.159126133027845","0.0460690664741185","3.45407765354311","0.000552178355739369"
"JudgmentThematic","Step 2","0.0559334416695382","0.0462943276864996","1.20821371569134","0.226965067373899"
"Judged.Value2","Step 2","0.457802974117051","0.0708912680323453","6.45781895039839","0.000000000106222711659722"
"LogSub.1","Step 2","-0.175837598274078","0.0494822095910762","-3.55355186696814","0.000380066243412789"
"LogSub.2","Step 2","-0.0809096213695643","0.047742498944677","-1.69470855439135","0.0901307220889339"
"Length.1","Step 2","0.184810129845999","0.0185747164588536","9.94955321419775","0.0000000000000000000000253317924700254"
"Length.2","Step 2","0.00376345212317823","0.0154233383769608","0.244010215635289","0.807222908090488"
"AOA.1","Step 2","-0.0120599336588784","0.017650413927503","-0.683266336325772","0.49443856189525"
"AOA.2","Step 2","-0.103887012327347","0.0201080514259498","-5.16643856367301","0.000000238596578711262"
"Familiarity.1","Step 2","-0.596660471355063","0.1204485431772","-4.95365452845101","0.000000728324681010661"
"Familiarity.2","Step 2","-0.271257730862415","0.0988684877867406","-2.74362172351132","0.00607655151649508"
"Valence.1","Step 2","-0.140616160420184","0.0199418732021159","-7.05130149986434","0.00000000000177251954590263"
"Valence.2","Step 2","-0.00932231135444818","0.0189571878644562","-0.491756025266125","0.622891826997611"
"Imageability.1","Step 2","0.154972377472775","0.0455075955768069","3.40541783208948","0.000660628906362654"
"Imageability.2","Step 2","-0.0607252865224688","0.0492806276261332","-1.23223443871617","0.21786152217917"
"QCON.1","Step 2","-0.066416070581915","0.0314963247100225","-2.10869271870253","0.0349711137451983"
"QCON.2","Step 2","-0.0915364126658345","0.0394462547358339","-2.32053494758479","0.0203119566578952"
"(Intercept)","Step 3","7.03070860493274","0.914631640353735","7.68692913598922","0.0000000000000150708553517228"
"JudgmentSemantic","Step 3","0.161458404324958","0.0464163107602564","3.47848421557893","0.000504258134470599"
"JudgmentThematic","Step 3","0.057345003546504","0.0466544098428549","1.22914433468686","0.219017695193712"
"Judged.Value2","Step 3","0.409055818410367","0.0720674056087437","5.67601698652987","0.0000000137867094478184"
"LogSub.1","Step 3","-0.128463984632332","0.0520026208271708","-2.47033673666715","0.0134985919737833"
"LogSub.2","Step 3","-0.0115855851118707","0.0553190933424903","-0.209431941339717","0.834111060013392"
"Length.1","Step 3","0.17280957223165","0.0243078752733657","7.10920104238804","0.00000000000116716627152932"
"Length.2","Step 3","-0.0588091740794122","0.0220767734066518","-2.66384824431331","0.00772524045656432"
"AOA.1","Step 3","-0.0281014852007903","0.0184088306945921","-1.52652200821454","0.126879913728246"
"AOA.2","Step 3","-0.0510090390819635","0.0253864402575994","-2.00930254751624","0.0445050579121564"
"Familiarity.1","Step 3","-0.587311961089703","0.131710671416709","-4.45910688004584","0.00000823018757727511"
"Familiarity.2","Step 3","-0.234350684550131","0.109748744762903","-2.13533817681845","0.032733396642219"
"Valence.1","Step 3","-0.141678834214957","0.0212193735765735","-6.67686224118189","0.0000000000244112210778724"
"Valence.2","Step 3","0.0560653712997211","0.0209481144130151","2.6763922611043","0.00744194883462415"
"Imageability.1","Step 3","0.241342476489027","0.0486242524180801","4.96341772854255","0.00000069263388505001"
"Imageability.2","Step 3","-0.083965138474279","0.0519493352507997","-1.61628898750897","0.106031846683442"
"QCON.1","Step 3","-0.0311831902912977","0.0342887525196233","-0.909429127625792","0.363123652418646"
"QCON.2","Step 3","-0.138796822537484","0.0421452998272438","-3.29329303875926","0.000990212118574652"
"QSS.1","Step 3","-0.0367914280982413","0.00526395678607963","-6.98931043574201","0.00000000000276240578444155"
"TSS.2","Step 3","-0.0196437126851183","0.0046187441724131","-4.25304194210335","0.0000210886059037674"
"FSS.1","Step 3","-0.00707545786879512","0.00285476095411464","-2.47847647579636","0.0131944811541781"
"FSS.2","Step 3","0.0157996123384243","0.002413180599293","6.54721505015132","0.0000000000586199239130689"
"COSC.1","Step 3","-0.000468021890791397","0.000379057429881647","-1.2346991613844","0.216942488124163"
"COSC.2","Step 3","0.0000160952586619199","0.000349660583885688","0.0460310924470166","0.963285467978477"
"Ortho.1","Step 3","-0.0159173826910045","0.00562859489482437","-2.82794960170982","0.00468471810523055"
"Ortho.2","Step 3","-0.00373629129008983","0.00467592409577982","-0.79904874706199","0.424262146727568"
"Phono.1","Step 3","0.00120231293778379","0.00213701458715667","0.562613350891291","0.573698198813484"
"Phono.2","Step 3","-0.00696076819626928","0.00222094617887302","-3.13414537573414","0.00172355443300613"
"(Intercept)","Step 4","5.8532679256394","0.952805693329881","6.14319159364309","0.000000000808796271997813"
"JudgmentSemantic","Step 4","0.172075457349213","0.0468176903777632","3.67543669840969","0.000237442911418419"
"JudgmentThematic","Step 4","0.0676774811929111","0.0470164649924355","1.4394421444445","0.15002529092515"
"Judged.Value2","Step 4","0.277318739444761","0.0746777477162491","3.71353914553611","0.000204380833952274"
"LogSub.1","Step 4","-0.313649215016985","0.0549889451706424","-5.70385945836321","0.0000000117124659233797"
"LogSub.2","Step 4","0.0177166707712577","0.0574237480588065","0.308525155012772","0.757682762242332"
"Length.1","Step 4","0.185104144462133","0.0253753216824677","7.29465213400725","0.000000000000299431711180165"
"Length.2","Step 4","-0.0911469010260976","0.0239578585601385","-3.80446778234802","0.000142109405772133"
"AOA.1","Step 4","-0.0777562473740701","0.0196594166959963","-3.95516553601031","0.0000764816771533161"
"AOA.2","Step 4","0.0404360757003358","0.0265802858126569","1.52128069597661","0.128189412424672"
"Familiarity.1","Step 4","-0.436544082139503","0.13673477598513","-3.19263390746313","0.00140981560168903"
"Familiarity.2","Step 4","-0.0967666287181238","0.112124493623407","-0.863028456950128","0.388121821120384"
"Valence.1","Step 4","-0.149328670960243","0.0215950772579708","-6.91494034387515","0.00000000000468060300615993"
"Valence.2","Step 4","0.065863880486158","0.0225957565129926","2.91487830683103","0.00355827261083742"
"Imageability.1","Step 4","0.0969470365508789","0.0501260551933525","1.93406475288994","0.0531051669141768"
"Imageability.2","Step 4","-0.0637727853637171","0.0525503675117997","-1.21355545894893","0.224917524426193"
"QCON.1","Step 4","-0.0137770060121575","0.0357936048863595","-0.384901326812369","0.70031052284296"
"QCON.2","Step 4","-0.157932625817998","0.0427763102380665","-3.69205817283077","0.000222446565999897"
"QSS.1","Step 4","-0.0189663014308601","0.0061449927829407","-3.08646439480173","0.00202552203109239"
"TSS.2","Step 4","-0.00621436878800458","0.00498692433190844","-1.24613256075342","0.212715732663647"
"FSS.1","Step 4","-0.00563412432210973","0.00292221888452184","-1.9280295367168","0.0538514523912338"
"FSS.2","Step 4","0.0118940865452361","0.00257529839682826","4.6185275305902","0.00000386472710692349"
"COSC.1","Step 4","-0.000281676713155254","0.000393922614454247","-0.715055959773972","0.474574465569793"
"COSC.2","Step 4","-0.00039937881841522","0.000364812047507347","-1.09475227351744","0.273625180633141"
"Ortho.1","Step 4","-0.00362489852177298","0.00588036668622822","-0.616440898194745","0.537603567644938"
"Ortho.2","Step 4","-0.00470830200886467","0.00495636425340112","-0.94995076393624","0.342137270937862"
"Phono.1","Step 4","0.00185065877346328","0.00220596487341882","0.838933926719838","0.401506388215403"
"Phono.2","Step 4","-0.0067888769022833","0.00233810752391228","-2.90357771524711","0.0036892539555402"
"ZFSG","Step 4","1.6196242108213","0.215258836834267","7.52407768545308","0.0000000000000530937710597364"
"ZLSA","Step 4","0.675122376204402","0.150024286212233","4.50008724087068","0.00000679255792584321"
"ZCOS","Step 4","0.215421073447575","0.107109770219794","2.01121777224917","0.044302459368061"
"ZFSG:ZLSA","Step 4","-0.920126363591119","1.03343877301618","-0.890354017689552","0.373275824522818"
"ZFSG:ZCOS","Step 4","-1.01550643837561","0.906144811056684","-1.1206889075394","0.262420305452097"
"ZLSA:ZCOS","Step 4","3.49768053890519","0.550300029023073","6.35595194336894","0.000000000207139782188762"
"ZFSG:ZLSA:ZCOS","Step 4","-11.4937274607536","3.23672249062251","-3.55103889630741","0.000383713704481114"
"ZCOS_low","Low COS Low LSA","-0.469866907483696","0.166456312092524","-2.82276413298477","0.00476115849920404"
"ZLSA_low","Low COS Low LSA","-0.30141337493783","0.225921173033055","-1.33415284141486","0.182153771129157"
"ZFSG","Low COS Low LSA","1.43577376954853","0.617296490544531","2.32590625662233","0.0200235521958804"
"ZCOS_low:ZLSA_low","Low COS Low LSA","3.40329112457803","0.548789809681739","6.20144737481863","0.000000000559462282636688"
"ZCOS_low:ZFSG","Low COS Low LSA","1.29094682267319","1.35086375109247","0.955645468781862","0.339251381452787"
"ZLSA_low:ZFSG","Low COS Low LSA","2.62253197853983","1.7822605535487","1.47146385152162","0.141165716515667"
"ZCOS_low:ZLSA_low:ZFSG","Low COS Low LSA","-11.909500268367","3.21233393984258","-3.70742908159498","0.000209374023265112"
"ZCOS_low","Low COS Average LSA","0.208260333194372","0.106916434532758","1.94787952015518","0.0514293808496241"
"ZLSA","Low COS Average LSA","-0.296494125572343","0.225242500456939","-1.31633295213318","0.188062315457581"
"ZFSG","Low COS Average LSA","1.96728675096638","0.386677430838074","5.08766893041193","0.00000036249145221167"
"ZCOS_low:ZLSA","Low COS Average LSA","3.406975428106","0.547705541775078","6.22045089604939","0.000000000495728195967267"
"ZCOS_low:ZFSG","Low COS Average LSA","-1.17684031254442","0.900824318724625","-1.30640379936742","0.19141527448917"
"ZLSA:ZFSG","Low COS Average LSA","2.8318380774729","1.7712352342424","1.59879276491705","0.109866657199271"
"ZCOS_low:ZLSA:ZFSG","Low COS Average LSA","-12.0098047573485","3.20433825937214","-3.74798282366783","0.000178262458523491"
"ZCOS_low","Low COS High LSA","0.887619533404699","0.138098766141943","6.42742551727341","0.000000000129783150885925"
"ZLSA_high","Low COS High LSA","-0.291641704593457","0.224517481565693","-1.29897103138547","0.193953870892929"
"ZFSG","Low COS High LSA","2.57987089488555","0.408812476387196","6.31064618595958","0.000000000277872798838431"
"ZCOS_low:ZLSA_high","Low COS High LSA","3.40930340587964","0.546430386307033","6.23922734041366","0.00000000043973751576016"
"ZCOS_low:ZFSG","Low COS High LSA","-3.6795474146913","0.781647257724913","-4.7074270117714","0.00000250863057840747"
"ZLSA_high:ZFSG","Low COS High LSA","3.03034581405656","1.75976072523611","1.7220215058783","0.0850656227902345"
"ZCOS_low:ZLSA_high:ZFSG","Low COS High LSA","-12.0926793463708","3.19543562075175","-3.78436018796272","0.000154104508275867"
"ZCOS","Average COS Low LSA","-0.480717372433651","0.16705371463999","-2.8776215690242","0.00400685489219508"
"ZLSA_low","Average COS Low LSA","0.669081999353639","0.150235004985484","4.45356925583547","0.00000844544494676751"
"ZFSG","Average COS Low LSA","1.85860600624729","0.359864883233007","5.16473291183534","0.00000024078248748912"
"ZCOS:ZLSA_low","Average COS Low LSA","3.49593324980335","0.55156575590427","6.33819850558326","0.000000000232467201294128"
"ZCOS:ZFSG","Average COS Low LSA","1.35752009128289","1.35960720540558","0.998464913899838","0.318053969855833"
"ZLSA_low:ZFSG","Average COS Low LSA","-1.1064320768582","1.04171354929285","-1.06212699029333","0.288178038674458"
"ZCOS:ZLSA_low:ZFSG","Average COS Low LSA","-11.401233253337","3.24594653769781","-3.51245256843426","0.000443991246501132"
"ZCOS","Average COS High LSA","0.912003937343433","0.138520948529287","6.58387014402093","0.0000000000458357490261122"
"ZLSA_high","Average COS High LSA","0.680713630442188","0.14980472128364","4.54400652135205","0.00000551949489992315"
"ZFSG","Average COS High LSA","1.45405273870145","0.22100715293423","6.57921121283417","0.0000000000472950535476376"
"ZCOS:ZLSA_high","Average COS High LSA","3.49802043532714","0.548843666315526","6.37343682730259","0.000000000184838433991031"
"ZCOS:ZFSG","Average COS High LSA","-3.42052328830997","0.790081723374458","-4.32932845693587","0.0000149564721415927"
"ZLSA_high:ZFSG","Average COS High LSA","-0.73924111402605","1.02492630173212","-0.721262702280873","0.470747900087528"
"ZCOS:ZLSA_high:ZFSG","Average COS High LSA","-11.5689700165497","3.22658121608351","-3.58551954585305","0.000336407804698389"
"ZCOS_high","High COS Low LSA","-0.4921397933066","0.167578326751225","-2.93677471811255","0.00331644930478612"
"ZLSA_low","High COS Low LSA","1.69284960893149","0.21042233845481","8.04500901074743","0.000000000000000862390775929469"
"ZFSG","High COS Low LSA","2.32369871926309","0.428340453869421","5.42488737235047","0.0000000579910943606177"
"ZCOS_high:ZLSA_low","High COS Low LSA","3.59284841349667","0.55405452652263","6.48464770434454","0.0000000000889393565498413"
"ZCOS_high:ZFSG","High COS Low LSA","1.4195538844563","1.36761424816208","1.03797827959457","0.299280167361897"
"ZLSA_low:ZFSG","High COS Low LSA","-4.54865724456188","0.825850290301795","-5.50784724299078","0.0000000363248397395264"
"ZCOS_high:ZLSA_low:ZFSG","High COS Low LSA","-10.8249650314331","3.27789595911498","-3.30241263495006","0.000958569433341025"
"ZCOS_high","High COS Average LSA","0.222862038018","0.107282962300293","2.07732927241693","0.0377711791257256"
"ZLSA","High COS Average LSA","1.69884861086592","0.210345926051509","8.07645121897875","0.000000000000000666788182161094"
"ZFSG","High COS Average LSA","1.36766908934677","0.282601013295002","4.83957602770196","0.000001301164087284"
"ZCOS_high:ZLSA","High COS Average LSA","3.59255831366181","0.552603444115893","6.50115078346919","0.000000000079707887714136"
"ZCOS_high:ZFSG","High COS Average LSA","-0.844800263170835","0.910957475529718","-0.927376179310222","0.353731254036343"
"ZLSA:ZFSG","High COS Average LSA","-4.38105061145677","0.824093878043011","-5.31620332122904","0.000000105954752677183"
"ZCOS_high:ZLSA:ZFSG","High COS Average LSA","-10.9091847067439","3.26737322845212","-3.33882416974813","0.000841338001046031"
"ZCOS_high","High COS High LSA","0.937476918072984","0.138909944352806","6.74881069487697","0.0000000000149061919878814"
