Cue,Target,COS,LSA,FSG,QSS.1,QCON.1,HAL.1,LogHAL.1,Subtlex.1,LogSub.1,Length.1,POS.1,Ortho.1,Phono.1,Phonemes.1,Syllables.1,Morphemes.1,AOA.1,Valence.1,Imageability.1,Familiarity.1,TSS.1,QSS.2,QCON.2,HAL.2,LogHAL.2,Subtlex.2,LogSub.2,Length.2,POS.2,Ortho.2,Phono.2,Phonemes.2,Syllables.2,Morphemes.2,AOA.2,Valence.2,Imageability.2,Familiarity.2,TSS.2
find,keep,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,11,17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17
jail,crime,0.08483377,0.625867,0.019,15,5.84,9659,9.18,70.63,3.56,4,NN,12,36,3,1,1,5.74,1.91,6.02,6.4,15,24,3.81,33496,10.42,71.24,3.56,5,NN,5,12,4,1,1,7.67,1.95,4.93,6.05,24
think,thought,0.148521178,0.405833,0.089,22,3.38,652944,13.39,2691.39,5.14,5,VB,7,14,4,1,1,5.89,6.68,4.52,6.68,22,9,1.28,174954,12.07,808.47,4.62,7,NN,0,14,3,1,1,5.89,6.76,3.42,6.53,9
high,school,0,0.365248,0.014,11,3.62,185510,12.13,195,4,4,ADJ,3,45,2,1,1,4.58,5.77,4.88,6.64,11,22,5.25,119951,11.69,333.12,4.23,6,NN,0,10,4,1,1,3.89,5.41,5.72,6.47,22
food,drink,0.051820331,0.170368,0.05,18,5.84,59724,11,154.43,3.9,4,NN,10,24,3,1,1,3.25,7.52,5.33,6.53,18,20,4.95,19872,9.9,247.39,4.1,5,VB,5,4,5,1,1,3.47,5.47,5.49,6.4,20
shovel,fork,0.091837261,0.126887,0.014,13,5.68,1017,6.92,6.84,2.54,6,NN,2,5,4,2,1,6.28,4.8,5.32,6.02,13,8,5.25,11253,9.33,8.82,2.65,4,NN,9,13,4,1,1,3.63,5.47,5.71,6.24,8
fish,bowl,0.033286338,0.112432,0.018,24,5.84,30614,10.33,83.49,3.63,4,NN,5,17,3,1,1,4.05,6.42,6.09,6.16,24,22,5.26,10720,9.28,21.45,3.04,4,NN,10,49,3,1,1,4.26,5.67,5.66,6.2,22
pigeon,bird,0.390263247,0.475698,0.646,7,5.77,900,6.8,5.9,2.48,6,NN,0,2,5,2,1,6.21,5.58,6.05,5.92,7,23,5.77,19070,9.86,45.45,3.37,4,NN,5,48,3,1,1,3.52,6.75,6.14,6.33,23
trumpet,instrument,0.561076309,0.416442,0.177,16,7,7157,8.88,4.12,2.32,7,NN,2,1,7,2,1,6.28,6.03,6.28,5.83,16,14,6.25,10141,9.22,8.1,2.62,10,NN,0,0,10,3,1,6.94,6.68,4.87,6.25,14
walrus,sea,0.341622972,0.318781,0.02,16,6.16,530,6.27,1.12,1.76,6,NN,0,0,6,2,1,5.06,5.79,5.84,5.8,16,15,5.82,36736,10.51,59.84,3.48,3,NN,17,51,2,1,1,4.74,6.56,5.73,6.24,15
horse,pony,0.489282997,0.702421,0.109,16,6.03,23855,10.08,92.88,3.68,5,NN,10,16,4,1,1,4.15,6.05,6.05,6.17,16,5,6.51,2249,7.72,8.1,2.62,4,NN,13,14,4,2,1,5.39,6.71,6.36,5.98,5
brick,wood,0.51298485,0.222086,0.013,14,5.97,3969,8.29,10.18,2.72,5,NN,8,23,4,1,1,6.43,4.65,5.69,6.13,14,26,5.81,24035,10.09,27,3.14,4,NN,12,18,3,1,1,4.58,5.82,5.42,6.46,26
fence,gate,0.540940557,0.590565,0.094,20,5.85,5277,8.57,16.06,2.91,5,NN,2,10,4,1,1,6.28,5.05,6.05,6.03,20,12,5.69,16638,9.72,32.04,3.21,4,NN,20,39,3,1,1,5.32,5.32,5.39,6.18,12
safe,vault,0.433552675,0.113921,0.021,21,3.72,33169,10.41,143.2,3.86,4,ADJ,10,15,3,1,1,5.11,7.7,4.68,6.05,21,13,5.39,9408,9.15,12.04,2.79,5,NN,2,10,4,1,1,9.16,5.84,5.44,5.19,13
green,red,0.783839908,0.343404,0.035,17,5.46,90773,11.42,72.47,3.57,5,ADJ,5,19,4,1,1,3.79,6.29,5.81,6.19,17,14,4.97,103819,11.55,148.06,3.88,3,ADJ,18,35,3,1,1,3.68,5.67,5.88,6.55,14
