Partno,Judgment,Word Pair,Judged Value,Recall,COS,LSA,FSG,QSS.1,QCON.1,HAL.1,LogHAL.1,Subtlex.1,LogSub.1,Length.1,POS.1,Ortho.1,Phono.1,Phonemes.1,Syllables.1,Morphemes.1,AOA.1,Valence.1,Imageability.1,Familiarity.1,QCON.2,HAL.2,LogHAL.2,Subtlex.2,LogSub.2,Length.2,POS.2,Ortho.2,Phono.2,Phonemes.2,Syllables.2,Morphemes.2,AOA.2,Valence.2,Imageability.2,Familiarity.2,TSS.2,FSS.1,FSS.2,COSC.1,COSC.2
1,Associative,Find...keep,100,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
2,Associative,Find...keep,30,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
3,Associative,Find...keep,70,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
4,Associative,Find...keep,90,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
5,Associative,Find...keep,NA,NA,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
6,Associative,Find...keep,40,1,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
7,Associative,Find...keep,55,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
8,Associative,Find...keep,25,1,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
9,Associative,Find...keep,75,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
10,Associative,Find...keep,88,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
11,Associative,Find...keep,50,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
12,Associative,Find...keep,20,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
13,Associative,Find...keep,50,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
14,Associative,Find...keep,29,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
15,Associative,Find...keep,55,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
16,Associative,Find...keep,80,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
17,Associative,Find...keep,40,NA,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
18,Associative,Find...keep,90,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
19,Associative,Find...keep,50,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
20,Associative,Find...keep,75,1,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
21,Associative,Find...keep,30,NA,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
22,Associative,Find...keep,54,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
23,Associative,Find...keep,70,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
24,Associative,Find...keep,52,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
25,Associative,Find...keep,82,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
26,Associative,Find...keep,75,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
27,Associative,Find...keep,80,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
28,Associative,Find...keep,100,1,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
29,Associative,Find...keep,40,1,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
30,Associative,Find...keep,75,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
31,Associative,Find...keep,NA,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
32,Associative,Find...keep,100,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
33,Associative,Find...keep,60,1,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
34,Associative,Find...keep,90,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
35,Associative,Find...keep,80,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
36,Associative,Find...keep,90,1,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
37,Associative,Find...keep,99,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
38,Associative,Find...keep,80,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
39,Associative,Find...keep,50,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
40,Associative,Find...keep,85,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
41,Associative,Find...keep,99,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
42,Associative,Find...keep,50,1,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
43,Associative,Find...keep,75,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
44,Associative,Find...keep,80,0,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
