		imagery	imagSD	concrete	conSD	categor	catSD	meaning	meanSD	familiar	famSD	NOAttr	NOAsd	pleasant	pleaSD
A	2	2.07	1.69	1.97	1.8	2.9	2.4	2.6	2.1	6.77	1	2.54	2.25	4.03	1.63F
ABASEMENT	1	2.51	1.92	2.55	1.63	2.32	1.69	2.3	1.69	3.18	1.86	2.91	1.61	3.04	1.3
ABBESS	1	2.91	2.18	3.49	2.12	2.33	1.67	2.18	1.41	2.92	2	2.67	1.42	3.72	1.2
ABDICATION	1	2.6	1.97	2.36	1.55	2.78	1.8	2.77	1.66	3.46	2.23	2.74	1.76	3.38	1.21
ABDUCTION	4	4.27	2.11	3.07	1.88	3.9	1.66	3.9	1.62	5.07	1.81	3.77	1.92	3	1.47
ABHOR	3	3.29	2.01	3.16	2.21	2.76	1.64	3.27	1.61	4.34	2.08	2.92	1.51	2.85	1.59M
ABLE	2	2.79	1.83	2.98	1.8	2.95	1.69	3.55	1.78	6.27	1.3	3.3	1.75	5.05	1.29
ABODE	6	4.37	2.06	4.7	2.05	4.27	1.96	4.19	1.91	4.53	2.09	4.07	2.03	4.54	1.60F
ABORIGINAL	3	3.83	2.19	3.31	2.08	3.46	2.23	2.9	1.8	3.69	1.92	3.3	1.72	3.38	1.44F
ABOUT	2	2.28	1.44	2.23	1.89	2.42	1.56	3	1.95	6.35	1.42	2.84	1.74	3.42	1.18
ABRUPT	4	3.63	1.86	2.62	1.63	3.92	1.83	4.39	1.74	5.51	1.65	2.74	1.47	3.1	1.2
ABUNDANT	5	4.37	1.91	3.47	1.88	3.62	1.81	4.95	1.69	5.98	1.28	4	1.89	5.32	1.26
ABYSS	3	4.3	2.39	3.83	2.35	4.03	1.93	3.23	1.78	3.57	2.06	3.65	1.75	3.73	1.70M
ACADEMY	6	4.98	1.91	4.95	2.02	4.52	1.83	4.21	1.57	5.83	1.44	3.74	1.59	3.75	1.74
ACCOMPLICE	3	3.85	1.99	3.91	1.94	3.98	1.86	3.45	1.52	5.2	1.77	3.17	1.53	3.2	1.48
ACCORD	2	2.42	1.66	2.95	1.84	2.41	1.27	3.07	1.61	5.56	1.67	2.68	1.49	3.94	1.09
ACCORDION	7	5.31	2.02	5.72	1.99	5.43	2.1	3.52	1.9	4.83	1.98	3.61	1.86	4.05	1.16
ACCOUNT	4	3.55	1.93	3.61	2.04	4.05	1.8	3.92	1.92	5.97	1.4	3.59	1.44	3.95	1.27
ACHE	4	4.37	2.23	4.39	2.07	3.65	1.87	4.84	1.56	5.97	1.67	3.41	1.77	2.16	1.51
ACKNOWLEDGE	2	3.32	2.06	2.86	1.92	3.2	1.45	4.26	1.61	5.84	1.47	3.21	1.7	4.34	1.52
